Date,Hashrate(MHs),Pool variance,ETH reward,ZIL reward,Total reward in ETH,Total reward in USD,Income per 1GHs in ETH,Income per 1GHs in USD
2022-04-30,356.62,94.07,0.004542,7.7148,0.004747,13.21,0.01331,37.03
2022-04-29,350.76,102.62,0.004531,7.2809,0.004746,13.38,0.01353,38.15
2022-04-28,357.22,118.32,0.004496,7.9248,0.004740,13.88,0.01327,38.86
2022-04-27,348.82,95.93,0.004603,7.3931,0.004843,13.93,0.01389,39.93
2022-04-26,355.28,107.00,0.004501,7.5610,0.004753,13.41,0.01338,37.74
2022-04-25,355.98,93.85,0.005044,7.9729,0.005321,16.01,0.01495,44.99
2022-04-24,353.49,89.12,0.004220,7.6341,0.004499,13.18,0.01273,37.29
2022-04-23,352.64,105.26,0.004321,7.1421,0.004592,13.57,0.01302,38.49
2022-04-22,357.52,89.39,0.004571,7.3114,0.004846,14.34,0.01356,40.11
2022-04-21,353.34,102.99,0.004500,7.7254,0.004797,14.32,0.01358,40.52
2022-04-20,362.39,104.08,0.004658,7.6788,0.004975,15.36,0.01373,42.38
2022-04-19,362.98,101.09,0.004625,8.2967,0.004921,15.25,0.01356,42.02
2022-04-18,360.50,87.07,0.004519,7.7850,0.004793,14.69,0.01330,40.76
2022-04-17,359.55,96.50,0.004650,7.3511,0.004919,14.98,0.01368,41.67
2022-04-16,360.60,106.37,0.004589,7.0558,0.004844,14.84,0.01343,41.14
2022-04-15,347.08,93.01,0.004590,6.7607,0.004835,14.66,0.01393,42.25
2022-04-14,355.58,108.62,0.004645,7.3484,0.004923,14.84,0.01384,41.73
2022-04-13,356.92,95.06,0.004584,8.2918,0.004881,15.24,0.01368,42.70
2022-04-12,357.37,96.01,0.004755,6.8238,0.004995,15.06,0.01398,42.14
2022-04-11,354.58,104.92,0.004517,7.5177,0.004794,14.38,0.01352,40.55
2022-04-10,350.76,95.41,0.004634,7.2471,0.004904,15.82,0.01398,45.11
2022-04-09,352.45,103.66,0.004517,8.6730,0.004836,15.71,0.01372,44.57
2022-04-08,357.72,108.36,0.004521,6.7946,0.004781,15.26,0.01336,42.65
2022-04-07,364.23,95.90,0.004772,6.5567,0.005039,16.31,0.01384,44.77
2022-04-06,355.38,96.45,0.004784,6.6130,0.005048,16.10,0.01420,45.30
2022-04-05,339.52,107.02,0.006103,6.2683,0.006334,21.81,0.01865,64.25
2022-04-04,369.30,91.47,0.005019,8.1205,0.005342,18.86,0.01447,51.08
2022-04-03,360.30,130.15,0.004819,7.5800,0.005145,18.23,0.01428,50.61
2022-04-02,355.78,110.06,0.005797,7.7984,0.006192,21.47,0.01740,60.34
2022-04-01,348.12,87.73,0.004723,6.8690,0.005100,17.59,0.01465,50.54
2022-03-31,357.62,108.67,0.004767,8.7101,0.005238,17.24,0.01465,48.22
2022-03-30,363.18,112.70,0.004763,8.3937,0.005209,17.65,0.01434,48.59
2022-03-29,356.17,94.57,0.004949,8.6211,0.005206,17.64,0.01462,49.52
2022-03-28,359.80,110.32,0.006044,7.8040,0.006279,21.17,0.01745,58.83
2022-03-27,357.67,111.86,0.005513,8.3493,0.005778,18.90,0.01615,52.84
2022-03-26,354.58,103.37,0.004692,9.5082,0.004935,15.48,0.01392,43.65
2022-03-25,363.03,117.68,0.004679,11.0807,0.004848,15.03,0.01335,41.41
2022-03-24,360.00,108.89,0.004943,9.7714,0.005099,15.87,0.01416,44.09
2022-03-23,354.43,105.48,0.004650,9.0956,0.004798,14.42,0.01354,40.69
2022-03-22,354.88,106.81,0.004751,8.7895,0.004884,14.65,0.01376,41.28
2022-03-21,351.05,101.33,0.004645,10.1856,0.004798,13.97,0.01367,39.78
2022-03-20,354.48,118.86,0.004686,9.9181,0.004834,13.91,0.01364,39.23
2022-03-19,296.12,94.65,0.003873,8.8220,0.004004,11.73,0.01352,39.62
2022-03-18,354.48,95.69,0.004867,10.6756,0.005021,14.72,0.01416,41.54
2022-03-17,357.76,127.37,0.004957,10.9616,0.005120,14.44,0.01431,40.35
2022-03-16,336.74,95.09,0.004453,8.5387,0.004578,12.58,0.01360,37.35
2022-03-15,326.65,104.86,0.004617,9.9705,0.004767,12.51,0.01460,38.31
2022-03-14,355.38,101.65,0.004804,9.6310,0.004952,12.73,0.01393,35.81
2022-03-13,307.46,108.73,0.004060,9.2123,0.004203,10.54,0.01367,34.26
2022-03-12,331.92,103.97,0.004331,10.5258,0.004498,11.64,0.01355,35.08
2022-03-11,354.33,98.61,0.004717,9.2930,0.004864,12.50,0.01373,35.28
2022-03-10,350.01,90.79,0.004766,10.0523,0.004928,12.88,0.01408,36.80
2022-03-09,351.85,92.69,0.004813,8.4494,0.004941,13.43,0.01404,38.16
2022-03-08,348.37,131.99,0.006862,8.7341,0.006992,17.98,0.02007,51.61
2022-03-07,345.39,113.08,0.004811,9.9836,0.004963,12.42,0.01437,35.97
2022-03-06,358.06,83.17,0.004883,10.2292,0.005035,13.24,0.01406,36.97
2022-03-05,347.72,106.01,0.004700,8.9013,0.004834,12.90,0.01390,37.11
2022-03-04,352.79,101.15,0.004870,9.0684,0.005006,13.08,0.01419,37.08
2022-03-03,353.94,93.84,0.004982,9.8581,0.005128,14.53,0.01449,41.06
2022-03-02,353.99,102.85,0.004765,12.1995,0.004944,14.65,0.01397,41.38
2022-03-01,357.42,105.55,0.005019,9.1279,0.005153,15.33,0.01442,42.88
2022-02-28,354.88,94.79,0.005005,10.0049,0.005153,14.99,0.01452,42.25
2022-02-27,319.64,100.24,0.004209,8.2645,0.004331,11.40,0.01355,35.67
2022-02-24,248.95,106.86,0.003663,6.9436,0.003763,9.66,0.01512,38.79
2022-02-23,332.76,102.43,0.010641,8.9464,0.010776,28.43,0.03238,85.43
2022-02-22,329.43,95.19,0.004430,7.2734,0.004541,11.83,0.01378,35.91
2022-02-21,345.39,90.23,0.004647,8.6732,0.004783,12.53,0.01385,36.29
2022-02-20,353.49,110.98,0.004780,9.0742,0.004930,13.09,0.01395,37.02
2022-02-19,352.10,121.54,0.004752,13.3748,0.004977,13.66,0.01413,38.79
2022-02-18,352.84,98.90,0.004713,8.7524,0.004857,13.48,0.01376,38.20
2022-02-17,358.86,94.66,0.004844,10.5608,0.005016,14.54,0.01398,40.52
2022-02-16,356.22,105.95,0.004889,9.5996,0.005045,15.83,0.01416,44.44
2022-02-15,359.41,95.51,0.004822,7.6770,0.004947,15.47,0.01376,43.04
2022-02-14,345.09,88.99,0.004682,7.7194,0.004809,14.15,0.01394,40.99
2022-02-13,357.22,104.79,0.004603,9.4703,0.004760,13.82,0.01333,38.70
2022-02-12,327.29,124.07,0.004265,9.4066,0.004423,12.90,0.01351,39.41
2022-02-11,353.79,92.10,0.005064,8.1944,0.005202,15.06,0.01470,42.56
2022-02-10,313.08,103.35,0.009147,6.4368,0.009259,28.86,0.02958,92.17
2022-02-09,347.92,84.16,0.004845,7.6062,0.004980,16.20,0.01431,46.56
2022-02-08,358.91,100.77,0.004770,8.5937,0.004922,15.34,0.01371,42.75
2022-02-07,357.17,101.50,0.005028,8.4664,0.005183,16.35,0.01451,45.77
2022-02-06,354.09,91.47,0.004779,8.2636,0.004922,14.72,0.01390,41.56
2022-02-05,355.03,109.12,0.004833,7.9711,0.004969,15.01,0.01400,42.28
2022-02-04,358.66,99.48,0.004992,8.2305,0.005130,15.17,0.01430,42.31
2022-02-03,348.62,139.18,0.004779,9.2574,0.004934,13.13,0.01415,37.67
2022-02-02,342.06,98.93,0.005167,9.7285,0.005327,14.28,0.01557,41.74
2022-02-01,349.21,101.27,0.004887,8.3910,0.005024,14.01,0.01439,40.12
2022-01-31,345.09,108.26,0.004864,7.6343,0.004991,13.39,0.01446,38.79
2022-01-30,351.60,110.96,0.004824,9.7938,0.004993,12.87,0.01420,36.60
2022-01-29,356.37,112.90,0.004921,8.2256,0.005066,13.18,0.01422,36.98
2022-01-28,361.24,97.88,0.005339,11.1942,0.005540,13.95,0.01534,38.62
2022-01-27,343.70,98.14,0.005006,9.9535,0.005188,12.37,0.01510,35.98
2022-01-26,359.65,109.59,0.005079,9.9824,0.005260,12.83,0.01463,35.67
2022-01-25,349.76,106.88,0.004928,9.3803,0.005101,12.43,0.01458,35.55
2022-01-24,356.07,117.98,0.005175,7.9173,0.005311,12.83,0.01491,36.03
2022-01-23,351.35,90.54,0.004890,8.0441,0.005032,12.31,0.01432,35.04
2022-01-22,347.08,122.57,0.005114,9.2387,0.005278,12.56,0.01521,36.20
2022-01-21,353.84,102.45,0.005515,7.6885,0.005660,14.43,0.01600,40.77
2022-01-20,361.15,91.79,0.005199,9.4021,0.005379,16.46,0.01489,45.57
2022-01-19,349.91,83.69,0.005072,7.0083,0.005206,16.29,0.01488,46.55
2022-01-18,337.83,105.14,0.004780,8.4048,0.004943,15.72,0.01463,46.53
2022-01-17,348.67,107.61,0.004942,8.5383,0.005106,16.31,0.01465,46.78
2022-01-16,351.05,114.37,0.005102,8.3507,0.005265,17.64,0.01500,50.26
2022-01-15,354.63,113.43,0.005061,8.4807,0.005229,17.46,0.01475,49.24
2022-01-14,358.36,103.55,0.005937,7.2109,0.006077,20.16,0.01696,56.25
2022-01-13,305.77,99.04,0.004380,6.0326,0.004499,14.61,0.01471,47.78
2022-01-12,301.79,86.74,0.004392,6.8133,0.004525,15.22,0.01499,50.42
2022-01-11,314.32,93.02,0.004775,6.8708,0.004904,15.86,0.01560,50.45
2022-01-10,329.93,106.16,0.004864,7.2458,0.005003,15.33,0.01516,46.45
2022-01-09,348.57,100.69,0.004965,8.6579,0.005135,16.32,0.01473,46.83
2022-01-08,356.92,93.66,0.005509,9.0032,0.005686,17.74,0.01593,49.69
2022-01-07,356.32,103.56,0.005483,10.2174,0.005686,18.09,0.01596,50.77
2022-01-06,352.55,89.69,0.005347,9.0165,0.005521,18.93,0.01566,53.70
2022-01-05,357.62,107.64,0.005746,8.8006,0.005911,20.89,0.01653,58.42
2022-01-04,342.70,91.53,0.005099,9.3478,0.005275,20.12,0.01539,58.72
2022-01-03,351.60,109.72,0.005023,12.6425,0.005273,19.78,0.01500,56.27
2022-01-02,354.98,98.59,0.005312,10.5541,0.005523,21.14,0.01556,59.56
2022-01-01,353.94,91.10,0.005352,10.7504,0.005570,20.93,0.01574,59.15
2021-12-31,358.76,110.33,0.005489,11.2399,0.005717,21.05,0.01594,58.68
2021-12-30,357.96,93.83,0.005249,10.5487,0.005470,20.25,0.01528,56.56
2021-12-29,361.79,100.70,0.005368,12.1838,0.005628,20.96,0.01555,57.93
2021-12-28,353.64,99.82,0.005333,12.5541,0.005583,21.28,0.01579,60.17
2021-12-27,361.74,98.91,0.005339,11.3082,0.005563,22.62,0.01538,62.52
2021-12-26,354.19,97.30,0.005167,11.5386,0.005381,21.98,0.01519,62.06
2021-12-25,365.12,107.41,0.005572,10.4867,0.005760,23.55,0.01578,64.50
